"bladelen","latitude","logpet","loglen","location"
"33.88","5","0.33835047163298","3.5228248697838","Sabah"
"33.32","5","0.016129221929871","3.5061578172986","Sabah"
"29.35","5","0.87214028753879","3.3792925462741","Sabah"
"26.87","5","-0.21221968459991","3.2910104226274","Sabah"
"26.67","5","-0.21969076903338","3.2835393381939","Sabah"
"24.23","5","0.39887343065877","3.1875915348284","Sabah"
"23.85","5","0.088313029472353","3.1717842173343","Sabah"
"23.3","5","0.64741732885377","3.1484533605716","Sabah"
"23.11","5","0.63188541831265","3.1402654242863","Sabah"
"23.08","5","-0.024001751290006","3.1389664416399","Sabah"
"22.14","5","1.1037550420138","3.0973859272805","Sabah"
"21.57","5","0.96428515095099","3.0713034604011","Sabah"
"21.3","5","0.37924432846508","3.0587070727154","Sabah"
"20.97","5","0.30818518964174","3.0430928449138","Sabah"
"20.82","5","-0.12233713986494","3.0359140631868","Sabah"
"20.48","5","-0.029684250109799","3.0194488001713","Sabah"
"20.42","5","0.20143603887579","3.0165148127365","Sabah"
"20.41","5","-0.04371262670815","3.0160249768217","Sabah"
"20.37","5","-0.0039146522625962","3.0140632302387","Sabah"
"20.13","5","0.29615904121216","3.0022112396517","Sabah"
"20.04","5","0.16411685213911","2.9977302762167","Sabah"
"19.37","5","0.46146918929579","2.9637254774189","Sabah"
"19.34","5","0.085114746188656","2.9621754900252","Sabah"
"19.3","5","0.283553561868","2.9601050959108","Sabah"
"19.21","5","-0.16133962515058","2.9554309767805","Sabah"
"19.02","5","-0.12066368073329","2.9454910571172","Sabah"
"18.56","5","-0.05100701957862","2.921008727358","Sabah"
"18.34","5","-0.39589405709329","2.9090844668283","Sabah"
"18.19","5","-0.4834682720657","2.90087199253","Sabah"
"18.17","5","-0.99736251052632","2.8997718824081","Sabah"
"18.07","5","-0.32963526208761","2.8942531046041","Sabah"
"17.6","5","-0.46751073908005","2.8678989020441","Sabah"
"17.51","5","0.46477686849906","2.8627721462978","Sabah"
"17.26","5","-0.55681371740441","2.8483916856553","Sabah"
"17.26","5","-0.087186665078962","2.8483916856553","Sabah"
"17.22","5","-0.49497195984282","2.8460714989996","Sabah"
"17.02","5","-0.29373233845451","2.8343891231452","Sabah"
"16.8","5","0.28053660429091","2.8213788864092","Sabah"
"16.06","5","0.20847813790969","2.7763317085186","Sabah"
"15.94","5","-0.6096262213306","2.7688316733621","Sabah"
"15.92","5","-0.50522798647752","2.7675761804162","Sabah"
"15.58","5","-0.69603133573981","2.7459880404426","Sabah"
"15.46","5","-0.27564020102239","2.7382560431593","Sabah"
"15.02","5","-0.23946604131915","2.709382646336","Sabah"
"14.92","5","-0.029128134991999","2.7027025947756","Sabah"
"14.54","5","-0.41975472003858","2.6769034721054","Sabah"
"14.08","5","-1.6677452212954","2.6447553507299","Sabah"
"13.75","5","-0.59284945924458","2.6210388241126","Sabah"
"13.74","5","-0.012167727460933","2.6203112867942","Sabah"
"13.59","5","-1.0364857364904","2.609334228163","Sabah"
"13.27","5","-0.27569553225227","2.5855058483441","Sabah"
"13.07","5","-0.33740186859515","2.5703195276361","Sabah"
"13.02","5","-0.55028396515062","2.5664866367804","Sabah"
"13.02","5","-1.7610518126094","2.5664866367804","Sabah"
"12.99","5","0.68424467055073","2.5641798306825","Sabah"
"12.87","5","-0.32929187721305","2.554899021608","Sabah"
"12.65","5","-0.41119147248161","2.5376572151735","Sabah"
"12.28","5","-0.96257553707795","2.507971922719","Sabah"
"12.03","5","-0.73397542509973","2.4874035299866","Sabah"
"11","5","-0.85920176489003","2.3978952727984","Sabah"
"10.4","5","-0.15193979230788","2.3418058061473","Sabah"
"10.02","5","-1.047824121836","2.3045830956567","Sabah"
"9.81","5","-1.021651247532","2.2834022735773","Sabah"
"8.42","5","-1.4813085847236","2.1306098282542","Sabah"
"2.28","5","-2.1836294118219","0.82417544296635","Sabah"
"43.4","5","1.2168455933086","3.7704594411064","Sabah"
"41.39","5","1.7123772794756","3.7230393057606","Sabah"
"33.35","5","1.1729820122762","3.5070577723616","Sabah"
"29.34","5","1.1716768595251","3.3789517727148","Sabah"
"29.25","5","1.4887099196452","3.3758795736779","Sabah"
"28.48","5","1.5953389880546","3.3492020865438","Sabah"
"27.38","5","3.0982888618791","3.3098128198603","Sabah"
"26.6","5","0.22754982939703","3.2809112157877","Sabah"
"24.88","5","1.194399930227","3.214064267871","Sabah"
"24.8","5","1.3524790126252","3.2108436531709","Sabah"
"23.75","5","0.91758988760577","3.1675825304806","Sabah"
"22.05","5","1.5235760563103","3.0933126018929","Sabah"
"20.36","5","0.99013284011777","3.0135721916823","Sabah"
"19.88","5","1.166464064909","2.9897142012284","Sabah"
"19.35","5","1.1130919505579","2.9626924194758","Sabah"
"6.74","9.1","-1.5153830656853","1.9080599249242","Panama"
"7.7","9.1","-0.94258337382908","2.0412203288596","Panama"
"7.97","9.1","-1.2485518477239","2.0756844928021","Panama"
"8.82","9.1","-0.96721041185374","2.1770218700187","Panama"
"9.44","9.1","-0.83198634882212","2.2449559801574","Panama"
"9.92","9.1","-1.2288120943396","2.2945529212968","Panama"
"11.23","9.1","-0.64971419763848","2.4185887687503","Panama"
"11.26","9.1","-0.67983616650027","2.4212566227115","Panama"
"11.29","9.1","-1.233463408893","2.4239173781616","Panama"
"12.12","9.1","-0.56915413366612","2.4948569806412","Panama"
"12.26","9.1","-0.5014629242802","2.5063419305081","Panama"
